,Infector,Infectee,Timestamp,Date
0,thm220,nep225,2024-09-17 00:00:00,2024-09-17
1,thm220,jdo325,2024-09-17 18:15:06,2024-09-17
2,thm220,kea226,2024-09-17 18:16:47,2024-09-17
3,thm220,lrb226,2024-09-17 18:16:54,2024-09-17
4,thm220,ahd326,2024-09-17 18:16:59,2024-09-17
5,thm220,hme226,2024-09-17 18:17:08,2024-09-17
6,thm220,moe325,2024-09-17 18:17:13,2024-09-17
7,thm220,lvg224,2024-09-17 18:17:20,2024-09-17
8,thm220,kah225,2024-09-17 18:17:24,2024-09-17
9,thm220,ejh325,2024-09-17 18:17:38,2024-09-17
10,thm220,mnl226,2024-09-17 18:17:42,2024-09-17
11,thm220,lil426,2024-09-17 18:17:47,2024-09-17
12,thm220,jil626,2024-09-17 18:17:55,2024-09-17
13,thm220,jum520,2024-09-17 18:18:00,2024-09-17
14,thm220,mcs424,2024-09-17 18:18:06,2024-09-17
15,thm220,ers326,2024-09-17 18:18:09,2024-09-17
16,thm220,ckw326,2024-09-17 18:18:13,2024-09-17
17,thm220,kaw225,2024-09-17 18:18:18,2024-09-17
18,thm220,cew226,2024-09-17 18:18:22,2024-09-17
19,cew226,cjn225,2024-09-17 20:16:09,2024-09-17
20,cjn225,mss424,2024-09-17 20:23:00,2024-09-17
21,cjn225,bbm225,2024-09-17 20:23:39,2024-09-17
22,cjn225,shm325,2024-09-17 20:24:14,2024-09-17
23,cjn225,tkr225,2024-09-17 20:24:54,2024-09-17
24,jdo325,thm220,2024-09-17 20:26:02,2024-09-17
25,hme226,zam226,2024-09-17 20:26:28,2024-09-17
26,cew226,jal227,2024-09-17 20:31:08,2024-09-17
27,cew226,lss327,2024-09-17 20:31:18,2024-09-17
28,cew226,gvw227,2024-09-17 20:31:29,2024-09-17
29,cew226,anp226,2024-09-17 20:32:33,2024-09-17
30,cew226,cca227,2024-09-17 20:32:48,2024-09-17
31,ahd326,lit226,2024-09-17 20:36:43,2024-09-17
32,cjn225,jbn223,2024-09-17 20:42:41,2024-09-17
33,lil426,Qus328,2024-09-17 20:54:26,2024-09-17
34,ahd326,Oal226,2024-09-17 20:58:14,2024-09-17
35,ahd326,rcf226,2024-09-17 20:58:28,2024-09-17
36,ahd326,cep228,2024-09-17 20:59:19,2024-09-17
37,ahd326,wbf226,2024-09-17 20:59:45,2024-09-17
38,ahd326,mmr227,2024-09-17 21:11:08,2024-09-17
39,jil626,meh426,2024-09-17 21:21:00,2024-09-17
40,jil626,kez226,2024-09-17 21:21:43,2024-09-17
41,jil626,knq226,2024-09-17 21:23:53,2024-09-17
42,thm220,Nep225,2024-09-17 21:29:13,2024-09-17
43,cew226,alc526,2024-09-17 21:30:03,2024-09-17
44,cew226,mdc226,2024-09-17 21:30:20,2024-09-17
45,cew226,mjf326,2024-09-17 21:30:48,2024-09-17
46,cew226,mis226,2024-09-17 21:31:07,2024-09-17
47,cew226,ehs326,2024-09-17 21:31:24,2024-09-17
48,cew226,jnd226,2024-09-17 21:31:39,2024-09-17
49,cew226,lmk226,2024-09-17 21:31:54,2024-09-17
50,cew226,nmb518,2024-09-17 21:32:11,2024-09-17
51,thm220,Mcs424,2024-09-17 21:32:26,2024-09-17
52,hme226,tla226,2024-09-17 21:40:56,2024-09-17
53,hme226,agm227,2024-09-17 21:41:26,2024-09-17
54,hme226,ajl226,2024-09-17 21:41:56,2024-09-17
55,mnl226,rac326,2024-09-17 21:56:26,2024-09-17
56,kaw225,byd224,2024-09-17 21:57:51,2024-09-17
57,kaw225,lmb221,2024-09-17 21:57:59,2024-09-17
58,lil426,sjm227,2024-09-17 22:10:04,2024-09-17
59,lil426,jel226,2024-09-17 22:10:18,2024-09-17
60,lil426,ajs325,2024-09-17 22:14:22,2024-09-17
61,kaw225,tym328,2024-09-17 22:18:32,2024-09-17
62,kaw225,ank228,2024-09-17 22:18:38,2024-09-17
63,kaw225,awl225,2024-09-17 22:18:44,2024-09-17
64,kaw225,grm225,2024-09-17 22:18:50,2024-09-17
65,kaw225,brl228,2024-09-17 22:18:57,2024-09-17
66,kaw225,bja227,2024-09-17 22:19:06,2024-09-17
67,kaw225,chv328,2024-09-17 22:19:12,2024-09-17
68,kaw225,faa328,2024-09-17 22:19:53,2024-09-17
69,kaw225,tys328,2024-09-17 22:20:05,2024-09-17
70,kaw225,qur228,2024-09-17 22:20:12,2024-09-17
71,kaw225,dae428,2024-09-17 22:20:20,2024-09-17
72,kaw225,bbe227,2024-09-17 22:20:28,2024-09-17
73,kaw225,owl422,2024-09-17 22:20:39,2024-09-17
74,kaw225,ayk226,2024-09-17 22:20:46,2024-09-17
75,lrb226,gpg226,2024-09-17 22:29:22,2024-09-17
76,lrb226,mbk226,2024-09-17 22:32:30,2024-09-17
77,lrb226,grb227,2024-09-17 22:35:18,2024-09-17
78,ahd326,skt226,2024-09-17 22:46:14,2024-09-17
79,skt226,lvm226,2024-09-17 23:05:29,2024-09-17
80,kaw225,jeb225,2024-09-17 23:07:28,2024-09-17
81,skt226,ahh226,2024-09-17 23:17:57,2024-09-17
82,lrb226,bep226,2024-09-17 23:39:24,2024-09-17
83,ahd326,ccb226,2024-09-17 23:41:03,2024-09-17
84,ahd326,lyv226,2024-09-17 23:41:31,2024-09-17
85,ahd326,lnp227,2024-09-17 23:41:43,2024-09-17
86,ahd326,nac327,2024-09-17 23:41:56,2024-09-17
87,ahd326,cln226,2024-09-17 23:42:06,2024-09-17
88,ahd326,moe226,2024-09-17 23:42:18,2024-09-17
89,nep225,glb225,2024-09-17 23:43:00,2024-09-17
90,nep225,eeg326,2024-09-17 23:59:03,2024-09-17
91,lil426,lis226,2024-09-18 00:01:14,2024-09-18
92,lil426,mpl226,2024-09-18 00:01:31,2024-09-18
93,lil426,snb227,2024-09-18 00:01:45,2024-09-18
94,lil426,afc326,2024-09-18 00:01:59,2024-09-18
95,lil426,ljm227,2024-09-18 00:02:18,2024-09-18
96,nep225,eeo224,2024-09-18 00:04:07,2024-09-18
97,lil426,abm227,2024-09-18 00:15:20,2024-09-18
98,lil426,ltz226,2024-09-18 00:15:33,2024-09-18
99,lmk226,alz326,2024-09-18 00:15:57,2024-09-18
100,lil426,gep527,2024-09-18 00:16:00,2024-09-18
