,Infector,Infectee,Timestamp,Date,Hour
0,thm220,nep225,2024-09-17T00:00:00.000,2024-09-17,2024-09-17 00
1,thm220,jdo325,2024-09-17T18:15:06.000,2024-09-17,2024-09-17 18
2,thm220,kea226,2024-09-17T18:16:47.000,2024-09-17,2024-09-17 18
3,thm220,lrb226,2024-09-17T18:16:54.000,2024-09-17,2024-09-17 18
4,thm220,ahd326,2024-09-17T18:16:59.000,2024-09-17,2024-09-17 18
5,thm220,hme226,2024-09-17T18:17:08.000,2024-09-17,2024-09-17 18
6,thm220,moe325,2024-09-17T18:17:13.000,2024-09-17,2024-09-17 18
7,thm220,lvg224,2024-09-17T18:17:20.000,2024-09-17,2024-09-17 18
8,thm220,kah225,2024-09-17T18:17:24.000,2024-09-17,2024-09-17 18
9,thm220,ejh325,2024-09-17T18:17:38.000,2024-09-17,2024-09-17 18
10,thm220,mnl226,2024-09-17T18:17:42.000,2024-09-17,2024-09-17 18
11,thm220,lil426,2024-09-17T18:17:47.000,2024-09-17,2024-09-17 18
12,thm220,jil626,2024-09-17T18:17:55.000,2024-09-17,2024-09-17 18
13,thm220,jum520,2024-09-17T18:18:00.000,2024-09-17,2024-09-17 18
14,thm220,mcs424,2024-09-17T18:18:06.000,2024-09-17,2024-09-17 18
15,thm220,ers326,2024-09-17T18:18:09.000,2024-09-17,2024-09-17 18
16,thm220,ckw326,2024-09-17T18:18:13.000,2024-09-17,2024-09-17 18
17,thm220,kaw225,2024-09-17T18:18:18.000,2024-09-17,2024-09-17 18
18,thm220,cew226,2024-09-17T18:18:22.000,2024-09-17,2024-09-17 18
19,cew226,cjn225,2024-09-17T20:16:09.000,2024-09-17,2024-09-17 20
20,cjn225,mss424,2024-09-17T20:23:00.000,2024-09-17,2024-09-17 20
21,cjn225,bbm225,2024-09-17T20:23:39.000,2024-09-17,2024-09-17 20
22,cjn225,shm325,2024-09-17T20:24:14.000,2024-09-17,2024-09-17 20
23,cjn225,tkr225,2024-09-17T20:24:54.000,2024-09-17,2024-09-17 20
24,jdo325,thm220,2024-09-17T20:26:02.000,2024-09-17,2024-09-17 20
25,hme226,zam226,2024-09-17T20:26:28.000,2024-09-17,2024-09-17 20
26,cew226,jal227,2024-09-17T20:31:08.000,2024-09-17,2024-09-17 20
27,cew226,lss327,2024-09-17T20:31:18.000,2024-09-17,2024-09-17 20
28,cew226,gvw227,2024-09-17T20:31:29.000,2024-09-17,2024-09-17 20
29,cew226,anp226,2024-09-17T20:32:33.000,2024-09-17,2024-09-17 20
30,cew226,cca227,2024-09-17T20:32:48.000,2024-09-17,2024-09-17 20
31,ahd326,lit226,2024-09-17T20:36:43.000,2024-09-17,2024-09-17 20
32,cjn225,jbn223,2024-09-17T20:42:41.000,2024-09-17,2024-09-17 20
33,lil426,Qus328,2024-09-17T20:54:26.000,2024-09-17,2024-09-17 20
34,ahd326,Oal226,2024-09-17T20:58:14.000,2024-09-17,2024-09-17 20
35,ahd326,rcf226,2024-09-17T20:58:28.000,2024-09-17,2024-09-17 20
36,ahd326,cep228,2024-09-17T20:59:19.000,2024-09-17,2024-09-17 20
37,ahd326,wbf226,2024-09-17T20:59:45.000,2024-09-17,2024-09-17 20
38,ahd326,mmr227,2024-09-17T21:11:08.000,2024-09-17,2024-09-17 21
39,jil626,meh426,2024-09-17T21:21:00.000,2024-09-17,2024-09-17 21
40,jil626,kez226,2024-09-17T21:21:43.000,2024-09-17,2024-09-17 21
41,jil626,knq226,2024-09-17T21:23:53.000,2024-09-17,2024-09-17 21
42,thm220,Nep225,2024-09-17T21:29:13.000,2024-09-17,2024-09-17 21
43,cew226,alc526,2024-09-17T21:30:03.000,2024-09-17,2024-09-17 21
44,cew226,mdc226,2024-09-17T21:30:20.000,2024-09-17,2024-09-17 21
45,cew226,mjf326,2024-09-17T21:30:48.000,2024-09-17,2024-09-17 21
46,cew226,mis226,2024-09-17T21:31:07.000,2024-09-17,2024-09-17 21
47,cew226,ehs326,2024-09-17T21:31:24.000,2024-09-17,2024-09-17 21
48,cew226,jnd226,2024-09-17T21:31:39.000,2024-09-17,2024-09-17 21
49,cew226,lmk226,2024-09-17T21:31:54.000,2024-09-17,2024-09-17 21
50,cew226,nmb518,2024-09-17T21:32:11.000,2024-09-17,2024-09-17 21
51,thm220,Mcs424,2024-09-17T21:32:26.000,2024-09-17,2024-09-17 21
52,hme226,tla226,2024-09-17T21:40:56.000,2024-09-17,2024-09-17 21
53,hme226,agm227,2024-09-17T21:41:26.000,2024-09-17,2024-09-17 21
54,hme226,ajl226,2024-09-17T21:41:56.000,2024-09-17,2024-09-17 21
55,mnl226,rac326,2024-09-17T21:56:26.000,2024-09-17,2024-09-17 21
56,kaw225,byd224,2024-09-17T21:57:51.000,2024-09-17,2024-09-17 21
57,kaw225,lmb221,2024-09-17T21:57:59.000,2024-09-17,2024-09-17 21
58,lil426,sjm227,2024-09-17T22:10:04.000,2024-09-17,2024-09-17 22
